image,ground_truth;;;
test058_0.jpg,;;N 3153 ACB;
test058_1.jpg,;;N 5829 KJ;
test058_2.jpg,;;N 1780 JL;
test059_0.jpg,;;W 8774 PA;
test059_1.jpg,;;B 9162 FXU;
test060_0.jpg,;;L 1846 JE;
test060_1.jpg,;;M 1457 TA;
test061_0.jpg,;;AA 1971 KJ;
test061_1.jpg,;;BD 1146 DH;
test062_0.jpg,;;B 9654 PEU;
test062_1.jpg,;;AE 7244 S;
test063_0.jpg,;;S 1208 BI;
test064_0.jpg,;;AE 8137 G;
test065_0.jpg,;;H 1706 SW;
test066_0.jpg,;;T 1220 HS;
test066_1.jpg,;;H 1790 ZY;
test067_0.jpg,;;L 1855 BR;
test067_1.jpg,;;AB 1274 EV;
test068_0.jpg,;;B 2310 UZS;
test068_1.jpg,;;G 1264 CM;
test069_0.jpg,;;AA 1138 AK;
test070_0.jpg,;;B 2160 T0B;
test070_1.jpg,;;B 2597 BYK;
test071_0.jpg,;;G 9545 AG;
test072_0.jpg,;;BG 1870 IB;
test073_0.jpg,;;T 1187 HB;
test073_1.jpg,;;A 1330 FP;
test074_0.jpg,;;G 1368 GE;
test074_1.jpg,;;B 1081 CMR;
test075_0.jpg,;;G 2474 XZ;
test075_1.jpg,;;G 9173 BP;
test075_2.jpg,;;7066 0F;
test076_0.jpg,;;G 2151 ASF;
test076_1.jpg,;;E 500 MA;
test076_2.jpg,;;G 4689 SN;
test077_0.jpg,;;G 1754 0Z;
test078_0.jpg,;;H 1413 DH;
test079_0.jpg,;;T 1688 CY;
test079_1.jpg,;;A 1260 AJ;
test080_0.jpg,;;D 77 HSB;
test080_1.jpg,;;B 1861 T0J;
test080_2.jpg,;; B 1160 ADE;
test081_0.jpg,;;F 8097 BD;
test081_1.jpg,;;F 1992 AM;
test082_0.jpg,;;E 1824 YZ;
test082_1.jpg,;;B 9093 DEX;
test083_0.jpg,;;F 5052 AAE;
test083_1.jpg,;;F 5452 C0;
test084_0.jpg,;;B 1158 PYP;
test084_1.jpg,;;B 1242 V0Y;
test085_0.jpg,;;B 1315 KIF;
test085_1.jpg,;;B98 38 FVJ;
test085_2.jpg,;;B 2560 SKZ;
test086_0.jpg,;;B 1291 N0J;
test086_1.jpg,;;B 1556 NRC;
test087_0.jpg,;;B 6823 WXR;
test087_1.jpg,;;B 6317 NXK;
test087_2.jpg,;;F 2215 FCO;
test087_3.jpg,;;B 4039 NHR;
test088_0.jpg,;;B 2190 TYB;
test088_1.jpg,;;B 1902 VKA;
test089_0.jpg,;;D 8609 N;
test089_1.jpg,;;A 8406 ZE;
test089_2.jpg,;;B 1246 KRK;
test090_0.jpg,;;T 9314 E;
test090_1.jpg,;;N 9579 U;
test091_0.jpg,;;B 2910 KZW;
test091_1.jpg,;;B 9721 KXV;
test092_0.jpg,;;B 1104 AAA;
test092_1.jpg,;;T 1579 FN;
test092_2.jpg,;;B 2346 P0C;
test093_0.jpg,;;B 2026 BIU;
test094_0.jpg,;;G 1255 EJ;
test095_0.jpg,;;B 1201 KAD;
test095_1.jpg,;;B 2310 JUK;
test095_2.jpg,;;B 28 YHH;
test096_0.jpg,;;B 1354 C0J;
test096_1.jpg,;;B 1502 NR0;
test097_0.jpg,;;B 1650 N0G;
test097_1.jpg,;;B 6354 SVL;
test098_0.jpg,;;B 1779 B0B;
test099_0.jpg,;;B 2017 PBQ;
test099_1.jpg,;;B 1892 WZT;
test100_0.jpg,;;B 1071 PRG;
test100_1.jpg,;;B 2134 PZJ;
