image,ground_truth,prediction,CER_score
test030_1.jpg,G 1894 TE,G 1894 TE,0.0
test031_0.jpg,L 1560 JQ,L 1560 JQ,0.0
test031_1.jpg,L 1568 Q0,L 1568 00,0.1111
test031_2.jpg,L 1932 AAZ,L 1932 AAZ,0.0
test032_0.jpg,B 2754 SKY,B 2754 SKY,0.0
test032_1.jpg,W 1192 K,W '1192 KI,0.25
test033_0.jpg,L 4561 VK,L 4561 VK,0.0
test033_1.jpg,L 2693 GA,L 2693 GA,0.0
test033_2.jpg,W 0847 G,THE LICENSE PLATE NUMBER SHOWN IN THE IMAGE IS W8047,6.0
test033_3.jpg,L 1762 ABJ,1762 ABJ,0.2
test034_0.jpg,L 1811 SU,L 1811 SU,0.0
test034_1.jpg,W 1167 V0,W 1167 V8,0.1111
test034_2.jpg,S 6131 OCF,S 6131ACE,0.3
test034_3.jpg,L 2570 AAD,L 2570 AAD,0.0
test035_0.jpg,L 9643 NN,L 9643 NN,0.0
test035_1.jpg,L 5247 CI,THE LICENSE PLATE NUMBER SHOWN IN THE IMAGE IS 5247,5.2222
test035_2.jpg,L 2498 AAM,L 2498 AAM,0.0
test035_3.jpg,W 1696 Y0,W1696YO,0.3333
test036_0.jpg,B 1231 JJA,1231 JJA,0.2
test036_1.jpg,B 1618 UAE,B 1618 UAE,0.0
test037_0.jpg,L 1775 V0,L 1775 V0,0.0
test037_1.jpg,L 300 RX,THE LICENSE PLATE NUMBER SHOWN IN THE IMAGE IS L 300 RX,5.875
test037_2.jpg,L 1879 VG,L 1879 VG,0.0
test038_0.jpg,D 1523 YCN,THE LICENSE PLATE NUMBER SHOWN IN THE IMAGE IS D 1523 YCN,4.7
test038_1.jpg,L 1877 ACU,L 1877 ACU,0.0
test039_0.jpg,L 1069 VK,L 1069 VK,0.0
test040_0.jpg,S 1595 LL,S 1595 LL,0.0
test041_0.jpg,B 1231 JJA,B 1231 JJA,0.0
test042_0.jpg,AD 1174 SF,AD 1174 SF,0.0
test043_0.jpg,W 1898 YW,W 1898 YH,0.1111
test043_1.jpg,W 1470 PG,W1470PG,0.2222
test044_0.jpg,L 1930 KF,L 1930 KF,0.0
test044_1.jpg,N 1004 HE,N 1004 HE,0.0
test045_0.jpg,S 1347 LJ,S 1347 LJ,0.0
test046_0.jpg,L 1470 ABK,L 1470 ABK,0.0
test046_1.jpg,L 1265 MX,L 1265 MX,0.0
test047_0.jpg,N 15 24 SY,N 1524 SY,0.1
test047_1.jpg,L 1678 ACE,L 1678 ACE,0.0
test048_0.jpg,L 9316 BC,L 9316 BC,0.0
test048_1.jpg,W 1838 AY,W 1838,0.3333
test049_0.jpg,N 1376 DE,N 1376 DE,0.0
test049_1.jpg,N 79 AP,N79AP,0.2857
test050_0.jpg,L 1265 OF,L 1265 OF,0.0
test050_1.jpg,N 1095 G,N 1095 G,0.0
test051_0.jpg,N 1718 HC,N 1718 HC,0.0
test052_0.jpg,N 6497 KS,N 6797 KS,0.1111
test052_1.jpg,N 5235 ABX,N 5235 ABX,0.0
test052_2.jpg,N 4980 KJ,THE LICENSE PLATE NUMBER SHOWN IN THE IMAGE IS N 4980,5.5556
test053_0.jpg,N 1365 AA0,N 1365 AA0,0.0
test054_0.jpg,N 1077 AAK,THE LICENSE PLATE NUMBER SHOWN IN THE IMAGE IS N 7077 AAK,4.8
test054_1.jpg,N 1084 AA0,N 1084 AA0,0.0
test055_0.jpg,N 1610 KS,N 1610 KS,0.0
test056_0.jpg,N924 CIA,N 924 CIA,0.125
test056_1.jpg,N 1623 HB,N 1623 HB,0.0
test056_2.jpg,L 1430 HF,L 1430 HF,0.0
test057_0.jpg,N 1342 T,N 1342 T,0.0
test057_1.jpg,N 4145 AB,N 4145,0.3333
test057_2.jpg,N 1396 AAH,N 1396 AAH,0.0
test058_0.jpg,N 3153 ACB,N·3153 ACB,0.1
test058_1.jpg,N 5829 KJ,W 5829 J,0.2222
test058_2.jpg,N 1780 JL,N 1780 JL,0.0
test059_0.jpg,W 8774 PA,W 8774 PA,0.0
test059_1.jpg,B 9162 FXU,B-9162 FXU,0.1
test060_0.jpg,L 1846 JE,L 1844 JE,0.1111
test060_1.jpg,M 1457 TA,THE LICENSE PLATE NUMBER SHOWN IN THE IMAGE IS M 1457 ITA,5.3333
test061_0.jpg,AA 1971 KJ,AA 1971 KJ,0.0
test061_1.jpg,BD 1146 DH,BD1146DH,0.2
test062_0.jpg,B 9654 PEU,B 9654 PEU,0.0
test062_1.jpg,AE 7244 S,AE 7244 S,0.0
test063_0.jpg,S 1208 BI,S 1208 BI,0.0
test064_0.jpg,AE 8137 G,AE 8137 G,0.0
test065_0.jpg,H 1706 SW,H 1706 SW,0.0
test066_0.jpg,T 1220 HS,T 1220 HS,0.0
test066_1.jpg,H 1790 ZY,H 1790 ZY,0.0
test067_0.jpg,L 1855 BR,L 1855 BR,0.0
test067_1.jpg,AB 1274 EV,AB 1274 EV,0.0
test068_0.jpg,B 2310 UZS,B 2310 UZS,0.0
test068_1.jpg,G 1264 CM,G 1264 CM,0.0
test069_0.jpg,AA 1138 AK,AA 1138 AK,0.0
test070_0.jpg,B 2160 T0B,B 2160 TOB,0.1
test070_1.jpg,B 2597 BYK,B 2597 BYK,0.0
test071_0.jpg,G 9545 AG,G 9547 AG,0.1111
test072_0.jpg,BG 1870 IB,BG 1870 IB,0.0
test073_0.jpg,T 1187 HB,T 1187 HB,0.0
test073_1.jpg,A 1330 FP,A 1330 FP,0.0
test074_0.jpg,G 1368 GE,G 1368 GE,0.0
test074_1.jpg,B 1081 CMR,B 1081 CMR,0.0
test075_0.jpg,G 2474 XZ,G 2474 XZ,0.0
test075_1.jpg,G 9173 BP,G9173BP,0.2222
test075_2.jpg,7066 0F,7066 1392,0.5714
test076_0.jpg,G 2151 ASF,G 2151 ASF,0.0
test076_1.jpg,E 500 MA,E 500 MA,0.0
test076_2.jpg,G 4689 SN,G 4889 SN,0.1111
test077_0.jpg,G 1754 0Z,G 1754 OZ,0.1111
test078_0.jpg,H 1413 DH,THE LICENSE PLATE SHOWN IN THE IMAGE IS H1413 DH,4.3333
test079_0.jpg,T 1688 CY,T 1688 GY,0.1111
test079_1.jpg,A 1260 AJ,A 1260 AJ,0.0
test080_0.jpg,D 77 HSB,D 77 HSB,0.0
test080_1.jpg,B 1861 T0J,B 1061 T01,0.2
test080_2.jpg,B 1160 ADE,D 1160 ADE,0.1
test081_0.jpg,F 8097 BD,F 8097 BD,0.0
test081_1.jpg,F 1992 AM,F ' 1992 ' AH,0.5556
test082_0.jpg,E 1824 YZ,E 1824 YZ,0.0
test082_1.jpg,B 9093 DEX,B 9093,0.4
test083_0.jpg,F 5052 AAE,F 5052 AAE,0.0
test083_1.jpg,F 5452 C0,F 5452 CO,0.1111
test084_0.jpg,B 1158 PYP,B 1158 26,0.3
test084_1.jpg,B 1242 V0Y,B 1242 V0Y,0.0
test085_0.jpg,B 1315 KIF,B 1315 KIF,0.0
test085_1.jpg,B98 38 FVJ,B 2938 FVJ,0.3
test085_2.jpg,B 2560 SKZ,B 2560 SKZ,0.0
test086_0.jpg,B 1291 N0J,B 1291 N0J,0.0
test086_1.jpg,B 1556 NRC,B 1556 NRC,0.0
test087_0.jpg,B 6823 WXR,B 6823 WXR,0.0
test087_1.jpg,B 6317 NXK,B 6317 NIX,0.2
test087_2.jpg,F 2215 FCO,F 2215 FCO,0.0
test087_3.jpg,B 4039 NHR,4039 NHR,0.2
test088_0.jpg,B 2190 TYB,B 2190 TYB,0.0
test088_1.jpg,B 1902 VKA,THE LICENSE PLATE NUMBER SHOWN IN THE IMAGE IS B 1902 VKA,4.7
test089_0.jpg,D 8609 N,A D 8609,0.5
test089_1.jpg,A 8406 ZE,A 8406ZE,0.1111
test089_2.jpg,B 1246 KRK,B 1246 KRK,0.0
test090_0.jpg,T 9314 E,T 9314 E,0.0
test090_1.jpg,N 9579 U,THE LICENSE PLATE NUMBER SHOWN IN THE IMAGE IS N 0579,6.125
test091_0.jpg,B 2910 KZW,B 2910 KZW,0.0
test091_1.jpg,B 9721 KXV,B 9721 KXV,0.0
test092_0.jpg,B 1104 AAA,B 1104 AAA,0.0
test092_1.jpg,T 1579 FN,THE LICENSE PLATE NUMBER SHOWN IN THE IMAGE IS T 1579 FN,5.2222
test092_2.jpg,B 2346 P0C,B 234 P0C,0.1
test093_0.jpg,B 2026 BIU,B 2026 BIU,0.0
test094_0.jpg,G 1255 EJ,G 1255 EJ,0.0
test095_0.jpg,B 1201 KAD,B 1201 KAD,0.0
test095_1.jpg,B 2310 JUK,B 2310 JUK,0.0
test095_2.jpg,B 28 YHH,B 28 YHH,0.0
test096_0.jpg,B 1354 C0J,B 1354 C0J,0.0
test096_1.jpg,B 1502 NR0,B 1502 NRO,0.1
test097_0.jpg,B 1650 N0G,B 1650 NOG,0.1
test097_1.jpg,B 6354 SVL,B 354 SVL,0.1
test098_0.jpg,B 1779 B0B,B 1779 DOB,0.2
test099_0.jpg,B 2017 PBQ,B 2017 PBQ,0.0
test099_1.jpg,B 1892 WZT,B 1892 WZT,0.0
test100_0.jpg,B 1071 PRG,B 1071 PRG,0.0
test100_1.jpg,B 2134 PZJ,B 2134 PZJ,0.0
